1,БТК АД,Договор № I-37783,06.12.2010,"32,040","офис
оборудване",МВР
2,РЕС ЕООД,Договор № I-38575,15.12.2010,"20 132,40","оборудване и
смр",Д МОС
3,Проинвекс ЕООД,Договор № I-39845,22.12.2010,"4 261,98","офис
оборудване",Д МОС
4,Министерство на финансите,Заповед № ЗМФ-23,10.1.2011,"6 157,68",автомобил,МВР
5,Министерство на финансите,Заповед № ЗМФ-88,26.1.2011,"18 000,00",автомобил,МВР
6,БТК АД,I-3153,07.2.2011,"119 973,66","мобилни
телефони","Дирекция ""КИС"" - МВР"
7,Гаранционен фонд,Заповед № 2,08.2.2011,"733 387,20",техника,ГДОП
8,БМВ ЕООД,Договор № I-4537,17.2.2011,"1 237 035,88","преотстъпване
на софтуерни продукти и лицензи","Дирекция ""КИС"" - МВР"
9,Лукойл България ЕООД,Договор № I-4497,17.2.2011,"10 152,62","технически
материали",СОБТ
10,Министерство на финансите,Заповед № ЗМФ-198,25.2.2011,"7 500,00",автомобил,МВР
11,БМВ ЕООД,Договор № I-8489,17.3.2011,"28 791,24",техника,ГДОП
12,Министерство на финансите,Заповед № ЗМФ-279,18.3.2011,"21 000,00",автомобили,МВР
13,БМВ ЕООД,Договор № I-8035,19.3.2011,"723 225,75","преотстъпване
на софтуерни продукти и лицензи","Дирекция ""КИС"" - МВР"
14,Министерство на финансите,Заповед № ЗМФ-326,28.3.2011,"25 000,00",автомобили,МВР
15,Министерство на финансите,Заповед № ЗМФ-464,27.4.2011,"8 500,00",автомобил,МВР
16,"""Гриком Холдинг"" ООД",1945,05.5.2011,"30,000",парични ср-ва,ИСТ - МВР
17,"""Аксина"" ЕООД",1951,09.5.2011,"5,000",парични ср-ва,ИСТ - МВР
18,"""Ню сист"" ООД",1989,12.5.2011,"6,000",парични ср-ва,ИСТ - МВР
19,"""Форс електроник"" ЕООД",2009,13.5.2011,"80,000",парични ср-ва,ИСТ - МВР
20,"""Демакс"" АД",2027,16.5.2011,"1 000,00",парични ср-ва,ИСТ - МВР
21,Министерство на финансите,Заповед № ЗМФ-694,16.6.2011,"5 200,00",автомобил,МВР

1,"""Турку турку"" ООД",14029,30.6.2010,"5,598",Гориво,ГДБОП
2,"""Булгартабак Холдинг"" АД",617,07.1.2011,"30 000,00",парични ср-ва,ГДБОП
3,"""Теразини"" ЕООД",1369,19.1.2011,"89,200",Гориво,БОП ПЛОВДИВ
4,"""Банка ДСК"" АД",1443,24.1.2011,"12,000",Компютри,ГДБОП
5,"""Тиера"" ООД",1573,26.1.2011,"44,640",Гориво,БОП ПЛОВДИВ
6,"""Синергон Петролеум"" ЕООД",3025,01.2.2011,"74,400",Гориво,БОП БЛАГОЕВГРАД
