regional_number,daritel,act_id,date,suma,predmet,nadaren
1,БТК АД,Договор № I-37783,06.12.2010,32040,"офис
оборудване",МВР
2,РЕС ЕООД,Договор № I-38575,15.12.2010,20132.40,Инвентар,Д МОС
3,Проинвекс ЕООД,Договор № I-39845,22.12.2010,4261.98,Офис техника,Д МОС
4,Министерство на финансите,Заповед № ЗМФ-23,10.1.2011,6157.68,Автомобили,МВР
5,Министерство на финансите,Заповед № ЗМФ-88,26.1.2011,18000.00,Автомобили,МВР
6,БТК АД,I-3153,07.2.2011,119973.66,Офис техника,"Дирекция ""КИС"" - МВР"
7,Гаранционен фонд,Заповед № 2,08.2.2011,733387.20,Tехника,ГДОП
8,"""БМВ"" ЕООД",Договор № I-4537,17.2.2011,1237035.88,"преотстъпване
на софтуерни продукти и лицензи","Дирекция ""КИС"" - МВР"
9,Лукойл България ЕООД,Договор № I-4497,17.2.2011,10152.62,Консумативи,СОБТ
10,Министерство на финансите,Заповед № ЗМФ-198,25.2.2011,7500.00,Автомобили,МВР
11,"""БМВ"" ЕООД",Договор № I-8489,17.3.2011,28791.24,Офис техника,ГДОП
12,Министерство на финансите,Заповед № ЗМФ-279,18.3.2011,21000.00,Автомобили,МВР
13,"""БМВ"" ЕООД",Договор № I-8035,19.3.2011,723225.75,"преотстъпване
на софтуерни продукти и лицензи","Дирекция ""КИС"" - МВР"
14,Министерство на финансите,Заповед № ЗМФ-326,28.3.2011,25000.00,Автомобили,МВР
15,Министерство на финансите,Заповед № ЗМФ-464,27.4.2011,8500.00,Автомобили,МВР
16,"""Гриком Холдинг"" ООД",1945,05.5.2011,30000,Парични средства,ИСТ - МВР
17,"""Аксина"" ЕООД",1951,09.5.2011,5000,Парични средства,ИСТ - МВР
18,"""Ню сист"" ООД",1989,12.5.2011,6000,Парични средства,ИСТ - МВР
19,"""Форс електроник"" ЕООД",2009,13.5.2011,80000,Парични средства,ИСТ - МВР
20,"""Демакс"" АД",2027,16.5.2011,1000.00,Парични средства,ИСТ - МВР
21,Министерство на финансите,Заповед № ЗМФ-694,16.6.2011,5200.00,Автомобили,МВР
1,"""Турку турку"" ООД",14029,30.6.2010,5598,Гориво,ГДБОП
2,"""Булгартабак Холдинг"" АД",617,07.1.2011,30000.00,Парични средства,ГДБОП
3,"""Теразини"" ЕООД",1369,19.1.2011,89200,Гориво,БОП ПЛОВДИВ
4,"""Банка ДСК"" АД",1443,24.1.2011,12000,Компютърна техника,ГДБОП
5,"""Тиера"" ООД",1573,26.1.2011,44640,Гориво,БОП ПЛОВДИВ
6,"""Синергон Петролеум"" ЕООД",3025,01.2.2011,74400,Гориво,БОП БЛАГОЕВГРАД
7,"""Космо България Мобайл"" ЕАД",2587,02.2.2011,4300.00,Компютърна техника,ГДБОП
8,"Международна            агенция            за
предотвратяване  на  престъпността  и политика за сигурност",2504,09.2.2011,2000.40,Компютърна техника,ГДБОП
9,"""Банка ДСК"" АД",3641,24.2.2011,45000,Компютърна техника,ГДБОП
10,"""Благоевград БТ"" АД",4300,07.3.2011,2000.00,Гориво,БОП БЛАГОЕВГРАД
11,"Международна            агенция            за
предотвратяване  на  престъпността  и политика за сигурност",4560,10.3.2011,4196.28,Облекло,ГДБОП
12,"""Геотрейдинг"" ООД",41,12.5.2011,1719.92,Гориво,ГДБОП
13,"Международна            агенция            за
предотвратяване  на  престъпността  и политика за сигурност",7013,15.5.2011,14000.00,Автомобили,ГДБОП
14,"Международна            агенция            за
предотвратяване  на  престъпността  и политика за сигурност",8717,16.5.2011,13197.11,Автомобили,ГДБОП
15,"""Телеграф"" ЕООД",9271,25.5.2011,57120,Облекло,ГДБОП
16,"""Бритиш  американ  табако  трейдинг""
ЕООД",10340,28.5.2011,3000.00,Компютърна техника,ГДБОП
17,"""Арсис консултинг"" ЕООД",47,07.6.2011,16025,Гориво,ГДБОП
18,GBBG ООД,48,15.6.2011,2000.00,Гориво,ГДБОП
1,"""Технополис България"" ЕАД",У-15023,11.4.2011,10001,"авто DVD+7
TFT",ГДКП - отдел ДП
2,"""Технополис България"" ЕАД",У-20711,18.5.2011,20000,Компютърна техника,ГДКП - отдел ТП
3,"""Табак трейдинг партнър"" ООД",Я-12883,26.5.2011,12833.00,Компютърна техника,ГДКП
4,Държавно горско стопанство-Пловдив,УД-3,03.6.2011,1200.00,Парични средства,ГДКП
1,община Поморие,93-00-373,15.12.2010,13715.39,Климатична техника,СПУ Бургас
2,"""ФЛОРА - 2004"" ООД",ОД-12,14.1.2011,1545.98,Компютърна техника,СПУ Плевен
3,П.М.Д.,ОД - 21,08.2.2011,2400.00,кучета,ГДОП
4,Народно събрание РБългария,З-д 150-05-27,17.2.2011,90417,Компютърна техника,СПУ София
5,"""Мобилтел"" ЕАД",ОД - 47,25.2.2011,17097.60,Компютърна техника,ГДОП
6,БНБ,ПР-Л № 2317 и П-МО № ОА 2884,09/03/2011;18/03/2011,1644.00,Компютърна техника,ДСПС  - ГДОП
